gs_id	gene_id
GO:0005840	3921
GO:0005840	6187
GO:0005840	6188
GO:0005840	6189
GO:0005840	6191
GO:0005840	6192
GO:0005840	140032
GO:0005840	6193
GO:0005840	6194
GO:0005840	6201
GO:0005840	6202
GO:0005840	6203
GO:0005840	6204
GO:0005840	6205
GO:0005840	6206
GO:0005840	6207
GO:0005840	6208
GO:0005840	6209
GO:0005840	6210
GO:0005840	6217
GO:0005840	6218
GO:0005840	6222
GO:0005840	6223
GO:0005840	6224
GO:0005840	6227
GO:0005840	6228
GO:0005840	6229
GO:0005840	6230
GO:0005840	6231
GO:0005840	6232
GO:0005840	6233
GO:0005840	51065
GO:0005840	6234
GO:0005840	6235
GO:0005840	2197
GO:0005840	6175
GO:0005840	6176
GO:0005840	6181
GO:0005840	6122
GO:0005840	6123
GO:0005840	6124
GO:0005840	6125
GO:0005840	6128
GO:0005840	6129
GO:0005840	6130
GO:0005840	285855
GO:0005840	6132
GO:0005840	6133
GO:0005840	6134
GO:0005840	4736
GO:0005840	140801
GO:0005840	6135
GO:0005840	6136
GO:0005840	6137
GO:0005840	23521
GO:0005840	9045
GO:0005840	6138
GO:0005840	6139
GO:0005840	6141
GO:0005840	6142
GO:0005840	6143
GO:0005840	6144
GO:0005840	6146
GO:0005840	200916
GO:0005840	9349
GO:0005840	6147
GO:0005840	6152
GO:0005840	6154
GO:0005840	51121
GO:0005840	6155
GO:0005840	6157
GO:0005840	6158
GO:0005840	6159
GO:0005840	6156
GO:0005840	6160
GO:0005840	6161
GO:0005840	6164
GO:0005840	11224
GO:0005840	6165
GO:0005840	25873
GO:0005840	6173
GO:0005840	6166
GO:0005840	6167
GO:0005840	6168
GO:0005840	6169
GO:0005840	6170
GO:0005840	116832
GO:0005840	7311
GO:0005840	6171
